Ply,Pawn,Knight,Bishop,Rook,Queen,King
0,18910,840,0,0,0,0
1,17869,1878,0,0,0,0
2,10037,7533,1849,5,244,13
3,11334,5738,1831,10,732,10
4,9145,6243,3765,5,461,13
5,10684,4817,3049,9,1019,39
6,8266,5841,3993,11,877,612
7,8227,5819,4293,20,817,386
8,7584,5284,4424,68,1123,1052
9,7660,4818,4588,40,1194,1207
10,6635,4407,5519,158,1405,1355
11,6940,4708,4973,102,1380,1324
12,6200,4125,5178,302,1680,1902
13,6446,4474,4711,237,1657,1813
14,5994,3874,4864,451,2033,2085
15,6110,4544,4469,387,1819,1921
16,5888,3891,4656,614,2166,1985
17,5940,4583,4299,520,1948,1840
18,5635,4129,4411,787,2285,1829
19,5662,4454,4164,716,2224,1779
20,5360,4301,4166,995,2406,1702
21,5399,4568,4013,871,2290,1695
22,5270,4212,4053,1137,2609,1488
23,5210,4556,3756,1110,2391,1630
24,4998,4199,3947,1433,2592,1405
25,5093,4372,3611,1373,2556,1457
26,4921,4185,3746,1587,2706,1212
27,4752,4136,3618,1594,2732,1383
28,4628,4014,3591,1814,2885,1160
29,4529,3940,3434,1857,2788,1388
30,4316,3843,3513,2053,2959,1130
31,4184,3919,3227,2042,2893,1371
32,4057,3640,3290,2349,3051,1099
33,3971,3647,3085,2391,2886,1340
34,3770,3519,3104,2665,2990,1110
35,3766,3425,3035,2581,2848,1306
36,3680,3292,2870,2928,2959,1064
37,3485,3167,2805,2872,2912,1330
38,3535,3022,2737,3084,2919,1097
39,3361,2937,2689,3093,2764,1353
40,3329,2817,2509,3281,2906,1147
41,3355,2651,2486,3305,2595,1373
42,3111,2707,2308,3388,2848,1185
43,3046,2531,2301,3336,2668,1441
44,2962,2516,2123,3608,2664,1237
45,2866,2328,2210,3371,2560,1499
46,2956,2290,1959,3555,2506,1303
47,2676,2165,2005,3484,2485,1481
48,2677,2086,1853,3546,2430,1431
49,2602,1918,1803,3542,2380,1491
50,2458,1884,1753,3603,2305,1471
51,2429,1776,1682,3462,2212,1616
52,2442,1776,1562,3410,2178,1532
53,2351,1599,1576,3448,2003,1621
54,2359,1573,1382,3366,2016,1616
55,2210,1519,1367,3256,1975,1688
56,2183,1416,1290,3184,1893,1758
57,2168,1395,1234,3135,1767,1729
58,2121,1346,1227,2999,1697,1748
59,2094,1231,1114,2906,1719,1775
60,2046,1222,1019,2884,1566,1809
61,1887,1125,1091,2771,1568,1823
62,1853,1083,980,2713,1478,1850
63,1846,1008,1002,2658,1334,1813
64,1848,898,910,2550,1260,1907
65,1770,854,845,2499,1296,1848
66,1821,811,801,2389,1144,1846
67,1718,803,789,2255,1143,1828
68,1636,750,700,2224,1048,1899
69,1534,727,708,2153,984,1873
70,1638,653,625,2000,920,1862
71,1537,657,630,1941,870,1826
72,1506,631,563,1822,845,1856
73,1459,606,553,1827,776,1755
74,1358,565,508,1783,727,1805
75,1383,511,502,1671,693,1757
76,1357,492,444,1584,673,1771
77,1306,454,506,1489,636,1744
78,1245,462,430,1490,573,1731
79,1252,426,432,1403,529,1681
80,1182,383,393,1389,497,1676
81,1203,394,399,1257,489,1556
82,1146,354,324,1224,476,1585
83,1083,357,332,1191,416,1575
84,1101,321,309,1095,392,1549
85,1038,304,314,1043,396,1495
86,1007,262,274,1029,390,1470
87,961,293,314,903,347,1457
88,926,233,250,942,350,1411
89,907,237,240,879,315,1389
90,817,222,244,799,325,1418
91,851,236,227,793,290,1280
92,762,204,223,731,280,1351
93,722,221,222,699,277,1267
94,736,189,189,666,245,1252
95,667,201,183,640,252,1212
96,626,169,155,622,238,1213
97,613,178,190,561,215,1160
98,558,155,152,547,221,1155
99,570,146,159,525,202,1067
100,544,115,121,469,200,1101
101,529,129,148,449,188,1013
102,463,110,112,422,184,1086
103,506,120,124,412,181,943
104,440,104,115,372,166,982
105,435,102,116,384,175,875
106,426,75,107,326,145,907
107,419,99,102,310,148,807
108,367,81,73,307,155,830
109,356,74,95,297,144,780
110,329,70,79,278,140,769
111,314,59,83,288,133,706
112,295,54,54,234,126,750
113,285,57,62,216,132,683
114,273,61,49,218,128,649
115,255,54,59,208,123,615
116,223,54,52,186,111,619
117,235,43,53,160,100,593
118,194,44,42,160,112,574
119,185,43,49,165,122,497
120,149,36,37,148,122,514
121,190,38,47,126,102,447
122,156,29,40,131,98,453
123,135,38,40,118,99,427
124,118,32,37,129,94,412
125,124,22,30,105,96,402
126,107,25,33,104,97,373
127,113,25,28,96,84,354
128,102,26,32,94,67,343
129,77,27,25,77,85,334
130,81,23,27,87,58,315
131,70,18,24,77,72,288
132,79,16,24,75,43,284
133,62,13,18,72,56,272
134,64,17,17,59,46,265
135,58,15,18,67,57,230
136,52,14,20,68,43,221
137,56,12,17,57,54,207
138,56,9,12,61,35,197
139,34,14,15,54,48,177
140,36,5,10,55,36,183
141,20,12,11,53,39,165
142,29,8,11,46,36,154
143,32,10,11,46,37,128
144,25,7,14,38,27,132
145,22,6,11,42,29,124
146,25,7,9,37,19,115
147,18,9,11,28,19,114
148,15,7,7,24,22,119
149,17,6,9,29,20,102
150,16,5,14,29,19,89
151,10,3,10,22,16,103
152,13,4,9,23,20,85
153,12,5,5,27,13,82
154,9,4,7,19,15,83
155,13,1,5,25,14,73
156,14,2,7,16,18,61
157,7,2,3,21,9,67
158,11,2,6,17,15,52
159,9,4,2,14,4,58
160,9,1,3,13,10,49
161,12,0,4,12,6,47
162,5,1,5,8,17,43
163,5,0,5,13,8,41
164,5,1,2,9,8,43
165,7,1,5,8,5,35
166,1,1,3,8,6,40
167,4,2,2,8,7,32
168,2,2,2,8,3,34
169,2,1,3,12,6,22
170,2,2,2,10,2,26
171,4,3,2,3,6,26
172,2,1,1,7,1,28
173,3,1,0,9,4,18
174,2,1,1,4,1,23
175,3,0,2,8,3,16
176,1,1,1,4,0,23
177,3,1,1,7,4,13
178,3,2,0,3,1,19
179,2,2,1,5,3,13
180,4,2,0,2,0,16
181,2,1,2,6,2,10
182,0,2,0,2,0,17
183,3,1,0,4,0,10
184,2,1,0,4,0,11
185,3,0,0,3,0,12
186,2,1,0,3,1,9
187,1,1,0,1,1,11
188,2,1,0,3,1,7
189,1,0,0,2,1,9
190,3,0,1,4,0,3
191,0,0,0,3,1,7
192,3,0,0,3,0,5
193,1,0,0,3,1,6
194,2,0,1,2,0,6
195,0,0,0,2,2,6
196,1,0,0,1,1,6
197,1,0,0,1,2,5
198,1,0,1,2,1,4
199,1,0,0,1,2,5
200,0,0,1,2,1,5
201,1,0,0,2,1,5
202,1,0,1,2,1,4
203,0,0,0,1,1,4
204,0,0,1,1,0,4
205,0,0,0,2,0,4
206,0,0,1,1,0,4
207,0,0,0,1,2,2
208,0,0,1,2,0,2
209,0,0,0,0,1,4
210,0,0,1,2,0,2
211,0,0,0,2,1,2
212,0,0,1,1,0,2
213,0,0,0,1,1,2
214,0,0,1,2,0,1
215,0,0,0,1,0,3
216,0,0,1,2,0,1
217,0,0,0,0,1,3
218,0,0,1,1,0,1
219,0,0,0,0,1,2
220,0,0,1,1,0,1
221,0,0,0,1,1,1
222,0,0,1,1,0,1
223,0,0,0,1,1,1
224,0,0,1,0,0,0
225,0,0,0,0,0,1
226,0,0,1,0,0,0
227,0,0,0,0,0,1
228,0,0,1,0,0,0
229,0,0,0,0,0,1
230,0,1,0,0,0,0
231,0,0,0,0,0,1
232,0,1,0,0,0,0
233,0,0,0,0,0,1
234,0,1,0,0,0,0
235,0,0,0,0,0,1
236,0,1,0,0,0,0
237,0,0,0,0,0,1
238,0,1,0,0,0,0
239,0,0,0,0,0,1
240,0,1,0,0,0,0
241,0,0,0,0,0,1
242,0,1,0,0,0,0
243,0,0,0,0,0,1
244,0,1,0,0,0,0
245,0,0,0,0,0,1
246,0,1,0,0,0,0
247,0,0,0,0,0,1
248,0,0,1,0,0,0
249,0,0,0,0,0,1
250,0,1,0,0,0,0
251,0,0,0,0,0,1
252,0,1,0,0,0,0
253,0,0,0,0,0,1
254,0,1,0,0,0,0
255,0,0,0,0,0,1
256,0,1,0,0,0,0
257,0,0,0,0,0,1
258,0,1,0,0,0,0
259,0,0,0,0,0,1
260,0,1,0,0,0,0
261,0,0,0,0,0,1
262,0,0,1,0,0,0
263,0,0,0,0,0,1
264,1,0,0,0,0,0
265,0,0,0,0,0,1
266,0,0,0,0,1,0
267,0,0,0,0,0,1
268,1,0,0,0,0,0
269,0,0,0,0,0,1
270,0,0,0,0,1,0
271,0,0,0,0,0,1
272,1,0,0,0,0,0
273,0,0,0,0,0,1
274,0,0,0,0,1,0
275,0,0,0,0,0,1
276,1,0,0,0,0,0
277,0,0,0,0,0,1
278,1,0,0,0,0,0
